;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Status;Prefixo;Placa;Garagem / Local;Endereço;Bairro;Cidade;Cep ;Fabricante;Modelo;Chassi;"Ano
Fabric./Model";Motor;RPM min;RPM max;Limite de opacidade
;210024;EMS7482;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Fiat;Ducato;93W244F14B2053415;2010/2010;F1A Multijet 2.3;850;4000;0,7 m⁻¹
;210025;EMS7483;Jaguaré;;;;;Fiat;Ducato;93W244F14B2053626;2010/2010;F1A Multijet 2.3;850;4000;0,7 m⁻¹
;210053;EQT6605;Jaguaré;;;;;Iveco;Daily 35S14;93ZC35A01B8421221;2010/2010;FPT 2.3;850;4200;0,7 m⁻¹
;210067;EQT6573;Jaguaré;;;;;Fiat;Ducato;93W244F14B2067213;2010/2010;F1A Multijet 2.3;850;4000;0,7 m⁻¹
;210069;EQT6547;CTRSS;;;;;Fiat;Ducato;93W244F14B2067254;2010/2010;F1A Multijet 2.3;850;4000;0,7 m⁻¹
;210070;EQT6549;Jaguaré;;;;;Fiat;Ducato;93W244F14B2067330;2010/2010;F1A Multijet 2.3;850;4000;0,7 m⁻¹
;210072;EQT6613;Jaguaré;;;;;Volkswagen;17-250;9533N82T1BR118105;2010/2010;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;210073;EQT6604;Transbordo PP;;;;;Volkswagen;17-250;9533N82T2BR117996;2010/2010;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;210080;EQT6529;Jaguaré;;;;;Volkswagen;17-250;9533N82T7BR119906;2010/2010;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;210091;EQT6F48;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;17-250;9533N82T5BR121640;2010/2010;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;214137;FCO6310;Aterro Bandeirantes;;;;;Volkswagen;17-190;9533E8241FR506658;2014/2015;Cummins ISB;700;2500;1,5 m⁻¹
